,is_action,is_indie,is_casual,is_strat,is_rpg,is_adv,is_f2p,is_sim,is_ra,is_sports,is_mmo,rnum,rval
0,1,0,0,0,0,0,0,0,0,0,0,0.9738881546534452,1
1,1,0,0,0,0,0,0,0,0,0,0,0.8397873955960516,1
2,1,0,0,0,0,0,0,0,0,0,0,0.8956476140534871,1
3,1,0,0,0,0,0,0,0,0,0,0,0.8266233766233766,1
4,1,0,0,0,0,0,0,0,0,0,0,0.9479956663055255,1
5,1,0,0,0,0,0,0,0,0,0,0,0.8012783265543288,1
6,1,0,0,0,0,0,0,0,0,0,0,0.9618783573037601,1
7,1,0,0,0,0,0,0,0,0,0,0,0.8938712294416993,1
8,1,0,0,0,0,0,0,0,0,0,0,0.900990099009901,1
9,1,0,0,0,0,0,0,0,0,0,0,0.9656006029493324,1
10,1,0,0,0,0,0,0,0,0,0,0,0.9563622296816702,1
11,1,0,0,0,0,0,0,0,0,0,0,0.7815352697095436,1
12,1,0,0,0,0,0,0,0,0,0,0,0.8965723566116762,1
13,1,0,0,0,0,0,0,0,0,0,0,0.8843837226384604,1
14,1,0,0,0,0,0,0,0,0,0,0,0.8500661472879611,1
15,1,0,0,0,0,0,0,0,0,0,0,0.7422343324250681,1
16,1,0,0,0,0,0,0,0,0,0,0,0.9386350148367952,1
17,1,0,0,0,0,0,0,0,0,0,0,0.9795767856129801,1
18,1,0,0,0,0,0,0,0,0,0,0,0.9523222359227291,1
19,1,0,0,0,0,0,1,0,0,0,0,0.9381067983233773,1
20,1,0,0,0,0,0,0,0,0,0,0,0.9498386157997778,1
21,1,0,0,0,0,0,0,0,0,0,0,0.9676488334287702,1
22,1,0,0,1,0,0,1,0,0,0,0,0.8587102445738107,1
23,1,0,0,0,0,1,0,0,0,0,0,0.9865035578933845,1
24,1,0,0,0,0,0,0,0,0,0,0,0.9487919024814976,1
25,1,0,0,0,0,0,1,0,0,0,0,0.8679519627192155,1
26,0,1,0,0,0,0,0,0,0,0,0,0.7017543859649122,1
27,1,0,0,0,0,0,0,0,0,0,0,0.8750700280112045,1
28,1,0,0,0,0,0,0,0,0,0,0,0.9529977465888323,1
29,1,0,0,0,0,0,0,0,0,0,0,0.8846880907372401,1
30,0,1,0,1,0,0,0,0,0,0,0,0.7492063492063492,1
31,0,1,0,1,0,0,0,0,0,0,0,0.9133409350057012,1
